year,count,run,watershed,notes
2009,1533,Winter,Upper Sacramento River,Upstream of RBDD
2008,4416,Winter,Upper Sacramento River,Upstream of RBDD
2007,2725,Winter,Upper Sacramento River,Upstream of RBDD
2006,2487,Winter,Upper Sacramento River,Upstream of RBDD
2005,17149,Winter,Upper Sacramento River,Upstream of RBDD
2004,15730,Winter,Upper Sacramento River,Upstream of RBDD
2003,7784,Winter,Upper Sacramento River,Upstream of RBDD
2002,8105,Winter,Upper Sacramento River,Upstream of RBDD
2001,7325,Winter,Upper Sacramento River,Upstream of RBDD
2000,8085,Winter,Upper Sacramento River,Upstream of RBDD
1999,1261,Winter,Upper Sacramento River,Upstream of RBDD
1998,3264,Winter,Upper Sacramento River,Upstream of RBDD
1997,2831,Winter,Upper Sacramento River,Upstream of RBDD
1996,836,Winter,Upper Sacramento River,Upstream of RBDD
1995,1012,Winter,Upper Sacramento River,Upstream of RBDD
1994,1159,Winter,Upper Sacramento River,Upstream of RBDD
1993,144,Winter,Upper Sacramento River,Upstream of RBDD
1992,369,Winter,Upper Sacramento River,Upstream of RBDD
1991,1159,Winter,Upper Sacramento River,Upstream of RBDD
1990,177,Winter,Upper Sacramento River,Upstream of RBDD
1989,384,Winter,Upper Sacramento River,Upstream of RBDD
1988,635,Winter,Upper Sacramento River,Upstream of RBDD
1987,2129,Winter,Upper Sacramento River,Upstream of RBDD
1986,2068,Winter,Upper Sacramento River,Upstream of RBDD
1985,2566,Winter,Upper Sacramento River,Upstream of RBDD
1984,3686,Winter,Upper Sacramento River,Upstream of RBDD
1983,2662,Winter,Upper Sacramento River,Upstream of RBDD
1982,1827,Winter,Upper Sacramento River,Upstream of RBDD
1981,1233,Winter,Upper Sacramento River,Upstream of RBDD
1980,19795,Winter,Upper Sacramento River,Upstream of RBDD
1979,1142,Winter,Upper Sacramento River,Upstream of RBDD
1978,2339,Winter,Upper Sacramento River,Upstream of RBDD
1977,24735,Winter,Upper Sacramento River,Upstream of RBDD
1976,16470,Winter,Upper Sacramento River,Upstream of RBDD
1975,33029,Winter,Upper Sacramento River,Upstream of RBDD
1974,22579,Winter,Upper Sacramento River,Upstream of RBDD
2010,0,Winter,Calaveras River,
2009,0,Winter,Calaveras River,
2008,0,Winter,Calaveras River,
2007,0,Winter,Calaveras River,
2006,0,Winter,Calaveras River,
2005,,Winter,Calaveras River,
2004,,Winter,Calaveras River,
2003,,Winter,Calaveras River,
2002,,Winter,Calaveras River,
2001,,Winter,Calaveras River,
2000,,Winter,Calaveras River,
1999,,Winter,Calaveras River,
1998,,Winter,Calaveras River,
1997,,Winter,Calaveras River,
1996,,Winter,Calaveras River,
1995,,Winter,Calaveras River,
1994,,Winter,Calaveras River,
1993,,Winter,Calaveras River,
1992,,Winter,Calaveras River,
1991,,Winter,Calaveras River,
1990,,Winter,Calaveras River,
1989,,Winter,Calaveras River,
1988,,Winter,Calaveras River,
1987,,Winter,Calaveras River,
1986,,Winter,Calaveras River,
1985,,Winter,Calaveras River,
1984,,Winter,Calaveras River,
1983,100,Winter,Calaveras River,
1982,,Winter,Calaveras River,
1981,,Winter,Calaveras River,
1980,,Winter,Calaveras River,
1979,,Winter,Calaveras River,
1978,,Winter,Calaveras River,
1977,150,Winter,Calaveras River,
1976,,Winter,Calaveras River,
1975,500,Winter,Calaveras River,
1974,500,Winter,Calaveras River,
